run_id,experiment_kind,workload_id,method,cpu_usage_m,measurement_statistic,sampling_interval_seconds,measurement_window_seconds,source,reconciliation_category,legacy_source_field,raw_schema_version
ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r01-large,ground-truth,boundary_below_0_5_ambiguous,profile_sweep,1243.999,full_window_average,,0.002403,cgroup_v2_cpu_stat_full_window_delta,average,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r02-medium,ground-truth,ml_sklearn_fit_memory_pressure,profile_sweep,1668.779,legacy_interval_sample_or_full_window_maximum,0.01,2.253515,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r02-large,ground-truth,boundary_below_0_5_ambiguous,profile_sweep,1147.059,full_window_average,,0.003146,cgroup_v2_cpu_stat_full_window_delta,average,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r02-medium,ground-truth,ml_sklearn_fit_medium,profile_sweep,1092.744,legacy_interval_sample_or_full_window_maximum,0.01,0.132335,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r00-medium,ground-truth,ml_sklearn_fit_memory_pressure,profile_sweep,1959.125,legacy_interval_sample_or_full_window_maximum,0.01,2.370828,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r00-small,ground-truth,ml_sklearn_fit_memory_pressure,profile_sweep,1394.524,legacy_interval_sample_or_full_window_maximum,0.01,4.406436,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r00-large,ground-truth,ml_sklearn_fit_memory_pressure,profile_sweep,1714.602,legacy_interval_sample_or_full_window_maximum,0.01,2.308761,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r01-medium,ground-truth,ml_sklearn_fit_memory_pressure,profile_sweep,1525.535,legacy_interval_sample_or_full_window_maximum,0.01,2.285485,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r02-small,ground-truth,ml_sklearn_fit_medium,profile_sweep,1007.856,legacy_interval_sample_or_full_window_maximum,0.01,0.24457,cgroup_v2_cpu_stat_max_of_interval_samples_and_full_window_average,legacy_hybrid_maximum,peak_cpu_m,1.0.0
ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_small-r00-large,ground-truth,ml_sklearn_fit_small,profile_sweep,1097.039,full_window_average,,0.007833,cgroup_v2_cpu_stat_full_window_delta,average,peak_cpu_m,1.0.0
