workload_id,profile,reliable,median_time_to_success_seconds,median_memory_waste_ratio,outcome,run_ids
boundary_above_0_5_conflicting,small,True,1.0,0.934811,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r01-small;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r02-small
boundary_above_0_5_conflicting,medium,True,1.0,0.976418,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r00-medium;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r02-medium
boundary_above_0_5_conflicting,large,True,1.0,0.98945,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r02-large;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-boundary_above_0_5_conflicting-r00-large
boundary_below_0_5_ambiguous,small,True,1.0,0.934668,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r01-small
boundary_below_0_5_ambiguous,medium,True,0.0,0.978794,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r00-medium;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r01-medium
boundary_below_0_5_ambiguous,large,True,1.0,0.989039,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r02-large;ground-truth-39b6973-seed20260720-profile_sweep-boundary_below_0_5_ambiguous-r00-large
data_dataframe_join_medium,small,True,1.0,0.937164,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r01-small
data_dataframe_join_medium,medium,True,1.0,0.979391,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r00-medium
data_dataframe_join_medium,large,True,1.0,0.989341,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-data_dataframe_join_medium-r02-large
data_large_aggregation,small,True,1.0,0.935098,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r01-small;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r00-small
data_large_aggregation,medium,True,0.0,0.978719,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r00-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r01-medium
data_large_aggregation,large,True,1.0,0.989178,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r02-large;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-data_large_aggregation-r01-large
data_pandas_read_transform,small,True,1.0,0.936205,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r01-small;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r02-small
data_pandas_read_transform,medium,True,0.0,0.97875,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r00-medium;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r02-medium
data_pandas_read_transform,large,True,1.0,0.989474,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r02-large;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-data_pandas_read_transform-r01-large
light_basic_python,small,True,1.0,0.935611,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r01-small;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r00-small
light_basic_python,medium,True,1.0,0.978755,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r00-medium
light_basic_python,large,True,1.0,0.989333,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r02-large;ground-truth-39b6973-seed20260720-profile_sweep-light_basic_python-r00-large
light_small_csv_read,small,True,1.0,0.93723,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r01-small
light_small_csv_read,medium,True,1.0,0.978867,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r00-medium
light_small_csv_read,large,True,0.0,0.989557,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-light_small_csv_read-r02-large
light_visual_aggregation,small,True,1.0,0.935545,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r01-small;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r00-small
light_visual_aggregation,medium,True,1.0,0.978452,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r00-medium
light_visual_aggregation,large,True,1.0,0.989141,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-light_visual_aggregation-r02-large
ml_sklearn_fit_medium,small,True,1.0,0.93707,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r01-small
ml_sklearn_fit_medium,medium,True,1.0,0.978847,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r01-medium;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r00-medium
ml_sklearn_fit_medium,large,True,1.0,0.989572,over_reserved,ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r00-large;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r01-large;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_medium-r02-large
ml_sklearn_fit_memory_pressure,small,True,7.0,0.14916,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r00-small;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r02-small;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r01-small
ml_sklearn_fit_memory_pressure,medium,True,3.0,0.716306,acceptable,ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r02-medium;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r00-medium;ground-truth-39b6973-seed20260720-profile_sweep-ml_sklearn_fit_memory_pressure-r01-medium
