workload_id,method,applied_profile,successes,median_time_to_success_seconds,median_peak_memory_mi,median_memory_waste_ratio,acceptable,run_ids
boundary_above_0_5_conflicting,static_default,medium,5,1.0,15.844,0.978355,False,comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r03-medium;comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r02-medium;comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r00-medium;comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r04-medium;comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r01-medium
boundary_above_0_5_conflicting,intent_only,medium,5,1.0,15.59,0.978702,False,comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r04-medium;comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r03-medium;comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r02-medium;comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r01-medium;comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r00-medium
boundary_above_0_5_conflicting,context_aware,large,5,1.0,15.57,0.989365,False,comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r04-large;comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r02-large;comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r00-large;comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r03-large;comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r01-large
boundary_below_0_5_ambiguous,static_default,medium,5,1.0,15.809,0.978403,False,comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r02-medium;comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r04-medium;comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r03-medium;comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r01-medium;comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r00-medium
boundary_below_0_5_ambiguous,intent_only,small,5,1.0,15.645,0.935881,True,comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r00-small;comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r04-small;comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r03-small;comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r01-small;comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r02-small
boundary_below_0_5_ambiguous,context_aware,small,5,1.0,15.672,0.93577,True,comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r00-small;comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r04-small;comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r02-small;comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r01-small;comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r03-small
data_dataframe_join_medium,static_default,medium,5,1.0,15.523,0.978794,False,comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r04-medium;comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r02-medium;comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r00-medium;comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r01-medium;comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r03-medium
data_dataframe_join_medium,intent_only,small,5,1.0,15.453,0.936668,True,comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r02-small;comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r01-small;comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r03-small;comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r00-small;comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r04-small
data_dataframe_join_medium,context_aware,medium,5,1.0,15.5,0.978825,False,comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r00-medium;comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r04-medium;comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r03-medium;comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r02-medium;comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r01-medium
data_large_aggregation,static_default,medium,5,1.0,15.742,0.978495,False,comparative-39b6973-seed20260720-static_default-data_large_aggregation-r03-medium;comparative-39b6973-seed20260720-static_default-data_large_aggregation-r04-medium;comparative-39b6973-seed20260720-static_default-data_large_aggregation-r02-medium;comparative-39b6973-seed20260720-static_default-data_large_aggregation-r00-medium;comparative-39b6973-seed20260720-static_default-data_large_aggregation-r01-medium
data_large_aggregation,intent_only,medium,5,1.0,15.789,0.97843,False,comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r00-medium;comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r02-medium;comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r01-medium;comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r03-medium;comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r04-medium
data_large_aggregation,context_aware,large,5,1.0,15.738,0.98925,False,comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r01-large;comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r02-large;comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r03-large;comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r04-large;comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r00-large
data_pandas_read_transform,static_default,medium,5,1.0,15.637,0.978638,False,comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r03-medium;comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r04-medium;comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r02-medium;comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r01-medium;comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r00-medium
data_pandas_read_transform,intent_only,medium,5,1.0,15.434,0.978915,False,comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r03-medium;comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r00-medium;comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r02-medium;comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r01-medium;comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r04-medium
data_pandas_read_transform,context_aware,medium,5,1.0,15.527,0.978788,False,comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r00-medium;comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r04-medium;comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r01-medium;comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r03-medium;comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r02-medium
light_basic_python,static_default,medium,5,1.0,15.68,0.978579,False,comparative-39b6973-seed20260720-static_default-light_basic_python-r03-medium;comparative-39b6973-seed20260720-static_default-light_basic_python-r00-medium;comparative-39b6973-seed20260720-static_default-light_basic_python-r01-medium;comparative-39b6973-seed20260720-static_default-light_basic_python-r02-medium;comparative-39b6973-seed20260720-static_default-light_basic_python-r04-medium
light_basic_python,intent_only,small,5,1.0,15.301,0.937291,True,comparative-39b6973-seed20260720-intent_only-light_basic_python-r03-small;comparative-39b6973-seed20260720-intent_only-light_basic_python-r04-small;comparative-39b6973-seed20260720-intent_only-light_basic_python-r02-small;comparative-39b6973-seed20260720-intent_only-light_basic_python-r01-small;comparative-39b6973-seed20260720-intent_only-light_basic_python-r00-small
light_basic_python,context_aware,small,5,1.0,15.273,0.937406,True,comparative-39b6973-seed20260720-context_aware-light_basic_python-r03-small;comparative-39b6973-seed20260720-context_aware-light_basic_python-r00-small;comparative-39b6973-seed20260720-context_aware-light_basic_python-r01-small;comparative-39b6973-seed20260720-context_aware-light_basic_python-r04-small;comparative-39b6973-seed20260720-context_aware-light_basic_python-r02-small
light_small_csv_read,static_default,medium,5,1.0,15.52,0.978798,False,comparative-39b6973-seed20260720-static_default-light_small_csv_read-r00-medium;comparative-39b6973-seed20260720-static_default-light_small_csv_read-r04-medium;comparative-39b6973-seed20260720-static_default-light_small_csv_read-r01-medium;comparative-39b6973-seed20260720-static_default-light_small_csv_read-r03-medium;comparative-39b6973-seed20260720-static_default-light_small_csv_read-r02-medium
light_small_csv_read,intent_only,medium,5,1.0,15.359,0.979018,False,comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r01-medium;comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r04-medium;comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r00-medium;comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r03-medium;comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r02-medium
light_small_csv_read,context_aware,medium,5,1.0,15.57,0.97873,False,comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r03-medium;comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r02-medium;comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r01-medium;comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r04-medium;comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r00-medium
light_visual_aggregation,static_default,medium,5,1.0,16.105,0.977999,False,comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r01-medium;comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r04-medium;comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r03-medium;comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r00-medium;comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r02-medium
light_visual_aggregation,intent_only,small,5,1.0,15.895,0.934857,True,comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r00-small;comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r04-small;comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r03-small;comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r02-small;comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r01-small
light_visual_aggregation,context_aware,small,5,1.0,15.898,0.934844,True,comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r00-small;comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r04-small;comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r01-small;comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r03-small;comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r02-small
ml_sklearn_fit_medium,static_default,medium,5,1.0,15.492,0.978836,False,comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r03-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r00-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r01-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r02-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r04-medium
ml_sklearn_fit_medium,intent_only,large,5,1.0,15.285,0.989559,False,comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r03-large;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r00-large;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r02-large;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r01-large;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r04-large
ml_sklearn_fit_medium,context_aware,large,5,1.0,15.367,0.989503,False,comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r00-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r03-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r02-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r04-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r01-large
ml_sklearn_fit_memory_pressure,static_default,medium,5,4.0,207.777,0.716152,True,comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r01-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r03-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r00-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r02-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r04-medium
ml_sklearn_fit_memory_pressure,intent_only,medium,5,4.0,207.672,0.716295,True,comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r01-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r03-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r02-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r04-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r00-medium
ml_sklearn_fit_memory_pressure,context_aware,large,5,4.0,207.613,0.858188,True,comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r03-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r00-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r04-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r02-large;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r01-large
ml_sklearn_fit_small,static_default,medium,5,1.0,15.422,0.978932,False,comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r04-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r02-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r03-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r01-medium;comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r00-medium
ml_sklearn_fit_small,intent_only,medium,5,1.0,15.445,0.9789,False,comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r03-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r02-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r04-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r00-medium;comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r01-medium
ml_sklearn_fit_small,context_aware,medium,5,1.0,15.34,0.979044,False,comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r04-medium;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r00-medium;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r02-medium;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r01-medium;comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r03-medium
policy_gpu_disallowed,static_default,medium,5,1.0,15.117,0.979348,False,comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r00-medium;comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r01-medium;comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r03-medium;comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r04-medium;comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r02-medium
policy_gpu_disallowed,intent_only,small,5,1.0,15.414,0.936828,True,comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r02-small;comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r00-small;comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r01-small;comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r04-small;comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r03-small
policy_gpu_disallowed,context_aware,medium,5,1.0,16.109,0.977993,False,comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r02-medium;comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r01-medium;comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r03-medium;comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r04-medium;comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r00-medium
