run_id,method,workload_id,profile,memory_request_mi,peak_memory_mi
comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r04-medium,static_default,data_dataframe_join_medium,medium,732,15.523
comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r04-medium,intent_only,boundary_above_0_5_conflicting,medium,732,15.59
comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r00-small,context_aware,boundary_below_0_5_ambiguous,small,244,15.547
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r01-medium,static_default,ml_sklearn_fit_memory_pressure,medium,732,207.859
comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r02-medium,context_aware,policy_gpu_disallowed,medium,732,16.367
comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r01-medium,context_aware,policy_gpu_disallowed,medium,732,16.551
comparative-39b6973-seed20260720-intent_only-light_basic_python-r03-small,intent_only,light_basic_python,small,244,15.289
comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r01-large,context_aware,data_large_aggregation,large,1464,15.891
comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r02-medium,static_default,data_dataframe_join_medium,medium,732,15.402
comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r03-medium,intent_only,data_pandas_read_transform,medium,732,15.16
comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r03-medium,context_aware,policy_gpu_disallowed,medium,732,15.438
comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r04-small,context_aware,boundary_below_0_5_ambiguous,small,244,16.273
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r03-medium,static_default,ml_sklearn_fit_memory_pressure,medium,732,207.766
comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r00-medium,context_aware,data_pandas_read_transform,medium,732,15.41
comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r00-small,context_aware,light_visual_aggregation,small,244,15.254
comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r02-small,context_aware,boundary_below_0_5_ambiguous,small,244,15.527
comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r04-small,context_aware,light_visual_aggregation,small,244,16.031
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r03-medium,intent_only,ml_sklearn_fit_small,medium,732,15.535
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r04-medium,static_default,ml_sklearn_fit_small,medium,732,20.227
comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r03-medium,static_default,boundary_above_0_5_conflicting,medium,732,15.977
comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r01-medium,intent_only,light_small_csv_read,medium,732,15.285
comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r00-medium,intent_only,data_large_aggregation,medium,732,15.578
comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r02-small,intent_only,policy_gpu_disallowed,small,244,15.5
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r03-medium,static_default,ml_sklearn_fit_medium,medium,732,15.383
comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r02-small,intent_only,data_dataframe_join_medium,small,244,15.453
comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r02-medium,static_default,boundary_below_0_5_ambiguous,medium,732,15.809
comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r02-medium,static_default,boundary_above_0_5_conflicting,medium,732,15.301
comparative-39b6973-seed20260720-static_default-light_basic_python-r03-medium,static_default,light_basic_python,medium,732,15.461
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r03-large,context_aware,ml_sklearn_fit_memory_pressure,large,1464,207.598
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r00-large,context_aware,ml_sklearn_fit_memory_pressure,large,1464,207.754
comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r03-medium,static_default,data_pandas_read_transform,medium,732,15.961
comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r00-medium,context_aware,data_dataframe_join_medium,medium,732,15.031
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r03-large,intent_only,ml_sklearn_fit_medium,large,1464,15.496
comparative-39b6973-seed20260720-context_aware-light_basic_python-r03-small,context_aware,light_basic_python,small,244,15.504
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r00-medium,static_default,ml_sklearn_fit_memory_pressure,medium,732,207.422
comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r00-small,intent_only,light_visual_aggregation,small,244,15.699
comparative-39b6973-seed20260720-context_aware-light_basic_python-r00-small,context_aware,light_basic_python,small,244,15.273
comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r03-medium,intent_only,boundary_above_0_5_conflicting,medium,732,15.512
comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r01-small,intent_only,data_dataframe_join_medium,small,244,15.684
comparative-39b6973-seed20260720-intent_only-light_basic_python-r04-small,intent_only,light_basic_python,small,244,15.301
comparative-39b6973-seed20260720-static_default-light_basic_python-r00-medium,static_default,light_basic_python,medium,732,15.734
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r00-large,intent_only,ml_sklearn_fit_medium,large,1464,15.68
comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r04-medium,context_aware,data_dataframe_join_medium,medium,732,15.492
comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r00-medium,static_default,policy_gpu_disallowed,medium,732,15.176
comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r00-small,intent_only,policy_gpu_disallowed,small,244,20.203
comparative-39b6973-seed20260720-static_default-data_large_aggregation-r03-medium,static_default,data_large_aggregation,medium,732,15.699
comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r03-medium,context_aware,light_small_csv_read,medium,732,15.102
comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r03-medium,context_aware,data_dataframe_join_medium,medium,732,15.527
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r02-medium,static_default,ml_sklearn_fit_memory_pressure,medium,732,207.871
