applied_profiles,category,failure_count,iqr_time_to_success_seconds,median_memory_request_to_peak_ratio,median_time_to_success_seconds,memory_waste_missing,method,oom_killed_count,recommendation_outcomes,run_count,success_count,timeout_count,workload_id
"[""medium""]",conflicting_signal,0,0.000708,36.6,0.050551,0,static_manual,0,"[""acceptable""]",5,5,0,boundary_above_0_5_conflicting
"[""medium""]",conflicting_signal,0,0.014357,36.6,0.050816,0,intent_only,0,"[""acceptable""]",5,5,0,boundary_above_0_5_conflicting
"[""large""]",conflicting_signal,0,0.001177,73.2,0.050639,0,context_aware,0,"[""acceptable""]",5,5,0,boundary_above_0_5_conflicting
"[""small""]",boundary,0,0.000214,11.619048,0.001774,0,static_manual,0,"[""acceptable""]",5,5,0,boundary_below_0_5_ambiguous
"[""small""]",boundary,0,4.9e-05,11.619048,0.001775,0,intent_only,0,"[""acceptable""]",5,5,0,boundary_below_0_5_ambiguous
"[""small""]",boundary,0,7.2e-05,11.619048,0.001779,0,context_aware,0,"[""acceptable""]",5,5,0,boundary_below_0_5_ambiguous
"[""medium""]",data_processing,0,0.000254,34.857143,0.003009,0,static_manual,0,"[""acceptable""]",5,5,0,data_dataframe_join_medium
"[""small""]",data_processing,0,0.000171,11.619048,0.003056,0,intent_only,0,"[""under""]",5,5,0,data_dataframe_join_medium
"[""medium""]",data_processing,0,0.00041,34.857143,0.002924,0,context_aware,0,"[""acceptable""]",5,5,0,data_dataframe_join_medium
"[""large""]",data_processing,0,0.000344,73.2,0.005124,0,static_manual,0,"[""acceptable""]",5,5,0,data_large_aggregation
"[""medium""]",data_processing,0,0.000288,36.6,0.005321,0,intent_only,0,"[""under""]",5,5,0,data_large_aggregation
"[""large""]",data_processing,0,0.00059,73.2,0.005203,0,context_aware,0,"[""acceptable""]",5,5,0,data_large_aggregation
"[""medium""]",data_processing,0,0.000185,36.6,0.010157,0,static_manual,0,"[""acceptable""]",5,5,0,data_pandas_read_transform
"[""medium""]",data_processing,0,0.000315,36.6,0.010031,0,intent_only,0,"[""acceptable""]",5,5,0,data_pandas_read_transform
"[""medium""]",data_processing,0,0.00052,36.6,0.010251,0,context_aware,0,"[""acceptable""]",5,5,0,data_pandas_read_transform
"[""small""]",light,0,9.9e-05,12.2,0.000486,0,static_manual,0,"[""acceptable""]",5,5,0,light_basic_python
"[""small""]",light,0,0.000109,12.2,0.000475,0,intent_only,0,"[""acceptable""]",5,5,0,light_basic_python
"[""small""]",light,0,3.9e-05,11.619048,0.000486,0,context_aware,0,"[""acceptable""]",5,5,0,light_basic_python
"[""small""]",light,0,0.000257,12.2,0.004265,0,static_manual,0,"[""acceptable""]",5,5,0,light_small_csv_read
"[""medium""]",light,0,0.000845,36.6,0.004203,0,intent_only,0,"[""acceptable""]",5,5,0,light_small_csv_read
"[""medium""]",light,0,0.003942,34.857143,0.004206,0,context_aware,0,"[""acceptable""]",5,5,0,light_small_csv_read
"[""small""]",light,0,4e-05,11.619048,0.000914,0,static_manual,0,"[""acceptable""]",5,5,0,light_visual_aggregation
"[""small""]",light,0,4.3e-05,12.2,0.00091,0,intent_only,0,"[""acceptable""]",5,5,0,light_visual_aggregation
"[""small""]",light,0,4.3e-05,11.619048,0.000921,0,context_aware,0,"[""acceptable""]",5,5,0,light_visual_aggregation
"[""large""]",machine_learning,0,0.001174,73.2,0.15373,0,static_manual,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_medium
"[""large""]",machine_learning,0,0.00167,73.2,0.153111,0,intent_only,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_medium
"[""large""]",machine_learning,0,0.001734,73.2,0.153966,0,context_aware,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_medium
"[""large""]",machine_learning,0,0.048464,6.873239,2.581365,0,static_manual,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_memory_pressure
"[""medium""]",machine_learning,0,0.100561,3.43662,2.636798,0,intent_only,0,"[""under""]",5,5,0,ml_sklearn_fit_memory_pressure
"[""large""]",machine_learning,0,0.085765,6.873239,2.673872,0,context_aware,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_memory_pressure
"[""medium""]",machine_learning,0,0.000222,36.6,0.004882,0,static_manual,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_small
"[""medium""]",machine_learning,0,0.000198,34.857143,0.004795,0,intent_only,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_small
"[""medium""]",machine_learning,0,0.000122,36.6,0.004816,0,context_aware,0,"[""acceptable""]",5,5,0,ml_sklearn_fit_small
"[""medium""]",policy,0,9e-06,36.6,5.5e-05,0,static_manual,0,"[""acceptable""]",5,5,0,policy_gpu_disallowed
"[""small""]",policy,0,7e-06,12.2,5.3e-05,0,intent_only,0,"[""under""]",5,5,0,policy_gpu_disallowed
"[""medium""]",policy,0,5e-06,36.6,5.4e-05,0,context_aware,0,"[""acceptable""]",5,5,0,policy_gpu_disallowed
