cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
500,,732,36.6,static_manual,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r00,boundary_above_0_5_conflicting
500,,732,34.857143,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r01,boundary_above_0_5_conflicting
500,,732,34.857143,static_manual,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r02,boundary_above_0_5_conflicting
500,,732,36.6,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r03,boundary_above_0_5_conflicting
500,,732,36.6,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r04,boundary_above_0_5_conflicting
500,,732,36.6,intent_only,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r00,boundary_above_0_5_conflicting
500,,732,36.6,intent_only,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r01,boundary_above_0_5_conflicting
500,,732,34.857143,intent_only,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r02,boundary_above_0_5_conflicting
500,,732,36.6,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r03,boundary_above_0_5_conflicting
500,,732,36.6,intent_only,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r04,boundary_above_0_5_conflicting
1500,,1464,69.714286,context_aware,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r00,boundary_above_0_5_conflicting
1500,,1464,73.2,context_aware,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r01,boundary_above_0_5_conflicting
1500,,1464,73.2,context_aware,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r02,boundary_above_0_5_conflicting
1500,,1464,73.2,context_aware,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r03,boundary_above_0_5_conflicting
1500,,1464,69.714286,context_aware,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r04,boundary_above_0_5_conflicting
100,,244,11.090909,static_manual,,22,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r00,boundary_below_0_5_ambiguous
100,,244,11.619048,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r01,boundary_below_0_5_ambiguous
100,,244,11.619048,static_manual,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r02,boundary_below_0_5_ambiguous
100,,244,11.619048,static_manual,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r03,boundary_below_0_5_ambiguous
100,,244,11.619048,static_manual,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r04,boundary_below_0_5_ambiguous
100,,244,11.619048,intent_only,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_below_0_5_ambiguous-r00,boundary_below_0_5_ambiguous
100,,244,11.619048,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_below_0_5_ambiguous-r01,boundary_below_0_5_ambiguous
100,,244,11.619048,intent_only,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_below_0_5_ambiguous-r02,boundary_below_0_5_ambiguous
100,,244,11.619048,intent_only,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_below_0_5_ambiguous-r03,boundary_below_0_5_ambiguous
100,,244,11.619048,intent_only,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-boundary_below_0_5_ambiguous-r04,boundary_below_0_5_ambiguous
100,,244,11.619048,context_aware,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_below_0_5_ambiguous-r00,boundary_below_0_5_ambiguous
100,,244,11.619048,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_below_0_5_ambiguous-r01,boundary_below_0_5_ambiguous
100,,244,11.619048,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_below_0_5_ambiguous-r02,boundary_below_0_5_ambiguous
100,,244,11.619048,context_aware,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_below_0_5_ambiguous-r03,boundary_below_0_5_ambiguous
100,,244,11.619048,context_aware,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-boundary_below_0_5_ambiguous-r04,boundary_below_0_5_ambiguous
500,,732,34.857143,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_dataframe_join_medium-r00,data_dataframe_join_medium
500,,732,36.6,static_manual,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_dataframe_join_medium-r01,data_dataframe_join_medium
500,,732,34.857143,static_manual,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_dataframe_join_medium-r02,data_dataframe_join_medium
500,,732,34.857143,static_manual,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_dataframe_join_medium-r03,data_dataframe_join_medium
500,,732,34.857143,static_manual,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_dataframe_join_medium-r04,data_dataframe_join_medium
100,,244,12.2,intent_only,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r00,data_dataframe_join_medium
100,,244,11.619048,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r01,data_dataframe_join_medium
100,,244,11.619048,intent_only,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r02,data_dataframe_join_medium
