applied_profile,category,cleanup_status,context_signal_summary,cpu_limit_m,cpu_request_m,cpu_request_to_peak_ratio,dataset_size_hint_gb,environment_id,error_message,excluded_from_comparative_summary,exclusion_reason,exit_code,exit_reason,expected_acceptable_profiles,expected_pressure_type,expected_recommender_profiles,git_commit,input_intent,kubernetes_evidence,memory_limit_mi,memory_request_mi,memory_request_to_peak_ratio,method,missing_peak_cpu,missing_peak_memory,missing_pending_time,missing_restart_count,oom_killed,peak_cpu_m,peak_memory_mi,pod_pending_duration_seconds,policy_warnings,profile_delta,random_seed,recommendation_outcome,recommendation_reasons,recommended_profile,repeat_index,resource_measurement_source,restart_or_respawn_count,run_id,schema_version,success,supporting_log_paths,time_to_success_seconds,timeout,timestamp,workload_id,workload_runtime_seconds
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,static_manual,True,False,True,False,False,,20,,[],0,202607195101,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,0,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r00,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050551,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050551
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,34.857143,static_manual,True,False,True,False,False,,21,,[],0,202607195102,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,1,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r01,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050068,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050068
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,34.857143,static_manual,True,False,True,False,False,,21,,[],0,202607195103,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,2,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r02,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.051082,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.051082
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,static_manual,True,False,True,False,False,,20,,[],0,202607195104,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,3,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r03,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050625,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050625
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,static_manual,True,False,True,False,False,,20,,[],0,202607195105,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,4,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r04,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050224,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050224
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,intent_only,True,False,True,False,False,,20,,[],0,202607195101,acceptable,"[""training/modeling context detected: train, model""]",medium,0,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r00,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050582,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050582
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,intent_only,True,False,True,False,False,,20,,[],0,202607195102,acceptable,"[""training/modeling context detected: train, model""]",medium,1,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r01,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050859,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050859
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,34.857143,intent_only,True,False,True,False,False,,21,,[],0,202607195103,acceptable,"[""training/modeling context detected: train, model""]",medium,2,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r02,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050816,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050816
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,intent_only,True,False,True,False,False,,20,,[],0,202607195104,acceptable,"[""training/modeling context detected: train, model""]",medium,3,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r03,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050275,False,2026-07-19T14:05:23Z,boundary_above_0_5_conflicting,0.050275
medium,conflicting_signal,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",1000,500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},953,732,36.6,intent_only,True,False,True,False,False,,20,,[],0,202607195105,acceptable,"[""training/modeling context detected: train, model""]",medium,4,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r04,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-intent_only-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.078712,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.078712
